,Nyx,Nyx,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,Stanton,
,Delamar,Delamar,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,ArcCorp,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Crusader,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,Hurston,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,microTech,
,Levski,Levski,ARC L1,ARC L1,Area18,Area18,Baijini Point,Baijini Point,Lyria,Lyria,Lyria,Lyria,Lyria,Lyria,Lyria,Lyria,Lyria,Lyria,Lyria,Lyria,Wala,Wala,Wala,Wala,Wala,Wala,Wala,Wala,Wala,Wala,CRU-L1,CRU-L1,CRU-L4,CRU-L4,CRU-L5,CRU-L5,Port Olisar,Port Olisar,Cellin,Cellin,Cellin,Cellin,Cellin,Cellin,Cellin,Cellin,Cellin,Cellin,Daymar,Daymar,Daymar,Daymar,Daymar,Daymar,Daymar,Daymar,Daymar,Daymar,Daymar,Daymar,Yela,Yela,Yela,Yela,Yela,Yela,Yela,Yela,Yela,Yela,Yela,Yela,Everus Harbor,Everus Harbor,HDMS-Edmond,HDMS-Edmond,HDMS-Hadley,HDMS-Hadley,HDMS-Oparei,HDMS-Oparei,HDMS-Pinewood,HDMS-Pinewood,HDMS-Stanhope,HDMS-Stanhope,HDMS-Thedus,HDMS-Thedus,HUR-L1,HUR-L1,HUR-L2,HUR-L2,HUR-L3,HUR-L3,HUR-L4,HUR-L4,HUR-L5,HUR-L5,Lorville,Lorville,Lorville,Lorville,Reclamation & Diposal Orinth,Reclamation & Diposal Orinth,Aberdeen,Aberdeen,Aberdeen,Aberdeen,Arial,Arial,Arial,Arial,Ita,Ita,Ita,Ita,Magda,Magda,Magda,Magda,MIC L1,MIC L1,Outpost 54,Outpost 54,Port Tressler,Port Tressler,Shubin Mining Facility SM0-10,Shubin Mining Facility SM0-10,Shubin Mining Facility SM0-13,Shubin Mining Facility SM0-13,Shubin Mining Facility SM0-18,Shubin Mining Facility SM0-18,Shubin Mining Facility SM0-22,Shubin Mining Facility SM0-22,Calliope,Calliope,Calliope,Calliope,Calliope,Calliope,Calliope,Calliope,Clio,Clio,Clio,Clio,The Necropolis,The Necropolis,
,Levski,Levski,ARC L1,ARC L1,Area18,Area18,Baijini Point,Baijini Point,Humboldt Mines,Humboldt Mines,Loveridge Mineral Reserve,Loveridge Mineral Reserve,Orphanage,Orphanage,Paradise Cove,Paradise Cove,Shubin Mining Facility SAL-2,Shubin Mining Facility SAL-2,Shubin Mining Facility SAL-5,Shubin Mining Facility SAL-5,ArcCorp Mining Area 056,ArcCorp Mining Area 056,ArcCorp Mining Area 061,ArcCorp Mining Area 061,ArcCorp Mining Outpost 045,ArcCorp Mining Outpost 045,ArcCorp Mining Outpost 048,ArcCorp Mining Outpost 048,Samson & Son's Salvage Center,Samson & Son's Salvage Center,CRU-L1,CRU-L1,CRU-L4,CRU-L4,CRU-L5,CRU-L5,Port Olisar,Port Olisar,Gallete Family Farms,Gallete Family Farms,Hickes Research Outpost,Hickes Research Outpost,Stash House,Stash House,Terra Mills HydroFarm,Terra Mills HydroFarm,Tram & Myers Mining,Tram & Myers Mining,ArcCorp Mining Area 141,ArcCorp Mining Area 141,Bountiful Harvest Hydroponics,Bountiful Harvest Hydroponics,Brio's Breaker Yard,Brio's Breaker Yard,Kudre Ore,Kudre Ore,Shubin Mining Facility SCD-1,Shubin Mining Facility SCD-1,Stash House,Stash House,ArcCorp Mining Area 157,ArcCorp Mining Area 157,Benson Mining Outpost,Benson Mining Outpost,Deakins Research Outpost,Deakins Research Outpost,GrimHEX,GrimHEX,Jumptown,Jumptown,Stash House,Stash House,Everus Harbor,Everus Harbor,HDMS-Edmond,HDMS-Edmond,HDMS-Hadley,HDMS-Hadley,HDMS-Oparei,HDMS-Oparei,HDMS-Pinewood,HDMS-Pinewood,HDMS-Stanhope,HDMS-Stanhope,HDMS-Thedus,HDMS-Thedus,HUR-L1,HUR-L1,HUR-L2,HUR-L2,HUR-L3,HUR-L3,HUR-L4,HUR-L4,HUR-L5,HUR-L5,CBD,CBD,L19 Admin Office,L19 Admin Office,Reclamation & Diposal Orinth,Reclamation & Diposal Orinth,HDMS-Anderson,HDMS-Anderson,HDMS-Norgaard,HDMS-Norgaard,HDMS-Bezdek,HDMS-Bezdek,HDMS-Lathan,HDMS-Lathan,HDMS-Ryder,HDMS-Ryder,HDMS-Woodruff,HDMS-Woodruff,HDMS-Hahn,HDMS-Hahn,HDMS-Perlman,HDMS-Perlman,R&R MIC-L1,R&R MIC-L1,Outpost 54,Outpost 54,Port Tressler,Port Tressler,Shubin Mining Facility SM0-10,Shubin Mining Facility SM0-10,Shubin Mining Facility SM0-13,Shubin Mining Facility SM0-13,Shubin Mining Facility SM0-18,Shubin Mining Facility SM0-18,Shubin Mining Facility SM0-22,Shubin Mining Facility SM0-22,Rayari Anvik Research Outpost,Rayari Anvik Research Outpost,Rayari Kaltag Research Outpost,Rayari Kaltag Research Outpost,Shubin Mining Facility SMCa-6,Shubin Mining Facility SMCa-6,Shubin Mining Facility SMCa-8,Shubin Mining Facility SMCa-8,Rayari Cantwell Research Outpost,Rayari Cantwell Research Outpost,Rayari McGrath Research Outpost,Rayari McGrath Research Outpost,The Necropolis,The Necropolis,
,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,Buy,Sell,
Agricium,,,,,,27.5,,,,,,,,,,,,,23.76,,,,,,,,,,,,,,,,,,,27.5,,,,,,,,,,,24.87,,,,,,24.5,,,,,,,,,,,,,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural Supplies,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,1.12,1,,,,,1.19,,,,,,1.12,,,,,,,,,,,,,1.15,,,1.14,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,,,,1,,1,,1,,1,,1,,1,,1,,1.05,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,
Altruciatoxine,,,,,,,,,,,,,45.01,,,,,,,,,,,51.31,,51.31,,51.31,,,,,,17.25,,,,,,,,,48.86,,,,,,,,,,,,,51.01,,,45.51,,,51.01,,11.8,,,,52.14,42.74,,,,,,,11.8,,11.8,,11.8,,11.8,,11.8,,11.8,,,,,,,,11.97,,51.02,,,,,,,,11.8,,11.8,,11.8,,11.8,,11.8,,11.8,,11.8,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aluminum,1.11,,,,,1.28,,,,,,,,,,,,,,,1.11,,,,1.11,,,,,,,1.25,,1.25,,1.24,,1.3,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,1.26,,,,,,,1.11,,1.11,,1.11,,1.11,,1.17,,1.16,,,,,,,1.24,,1.33,,1.25,,1.3,,1.3,,,1.11,,1.11,,1.11,,1.11,,1.11,,1.11,,1.11,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astatine,,8.26,,,,8.79,,,,,7.8,,,,,,,,,,7.41,,7.66,,,,,,9,,,,,,,,,8.61,,,,8.04,,,,,,,,,,,,,,,,,,,7.9,,7.9,,,8.01,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25,,,,,,,,,,,,,7.37,,7.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
